From Win10 22H2.
api-ms-win-ntuser-ie-message-l1-1-0 -> user32.dll
api-ms-win-ntuser-ie-window-l1-1-0 -> user32.dll
api-ms-win-ntuser-ie-wmpointer-l1-1-0 -> user32.dll
api-ms-win-ntuser-rectangle-l1-1-0 -> user32.dll
api-ms-win-ntuser-sysparams-l1-1-0 -> user32.dll
api-ms-win-obsolete-localization-l1-1-0 -> kernelbase.dll
api-ms-win-obsolete-psapi-l1-1-0 -> kernelbase.dll
api-ms-win-obsolete-shlwapi-l1-1-0 -> kernelbase.dll
api-ms-win-ole32-ie-l1-1-0 -> ole32.dll
api-ms-win-oobe-notification-l1-1-0 -> kernel32.dll
api-ms-win-perf-legacy-l1-1-0 -> advapi32.dll
api-ms-win-power-base-l1-1-0 -> powrprof.dll
api-ms-win-power-limitsmanagement-l1-1-0 -> powrprof.dll
api-ms-win-power-setting-l1-1-1 -> powrprof.dll
api-ms-win-ro-typeresolution-l1-1-1 -> wintypes.dll
api-ms-win-rtcore-minuser-private-l1-1-1 -> 
api-ms-win-rtcore-navigation-l1-1-0 -> 
api-ms-win-rtcore-ntuser-clipboard-l1-1-0 -> user32.dll
api-ms-win-rtcore-ntuser-draw-l1-1-0 -> user32.dll
api-ms-win-rtcore-ntuser-powermanagement-l1-1-0 -> user32.dll
api-ms-win-rtcore-ntuser-private-l1-1-8 -> user32.dll
api-ms-win-rtcore-ntuser-shell-l1-1-0 -> user32.dll
api-ms-win-rtcore-ntuser-synch-l1-1-0 -> user32.dll
api-ms-win-rtcore-ntuser-window-l1-1-0 -> user32.dll
api-ms-win-rtcore-ntuser-winevent-l1-1-0 -> user32.dll
